Provinsi;Tahun;Y;X1;X2;X3;X4;X5;X6;X7;X8;X9;X10;X11
ACEH;2016;7,57;88;64,26;57,17;35,22;5,92;16,43;70;26852;2118500;9,36;42,06
SUMATERA UTARA;2016;5,84;193;65,99;59,98;44,5;7,62;10,27;70;44392;1811875;9,46;28,93
SUMATERA BARAT;2016;5,09;125;67,08;61,8;36,44;8,78;7,14;70,73;37285;1800725;8,97;40,54
RIAU;2016;7,43;75;66,25;53,63;41,88;7,56;7,67;71,2;104861;2095000;8,97;29,81
JAMBI;2016;4;69;67,54;62,09;49,29;4,4;8,37;69,62;49495;1906650;8,55;26,98
SUMATERA SELATAN;2016;4,31;89;71,59;60,71;48,43;5,38;13,39;68,24;43361;2206000;8,32;21,64
BENGKULU;2016;3,3;96;72,69;65,92;42,35;5,19;17,03;69,33;29076;1605000;8,82;41
LAMPUNG;2016;4,62;237;69,61;70,1;48,28;8,42;13,86;67,65;34054;1763000;8,1;16,05
KEP. BANGKA BELITUNG;2016;2,6;85;68,93;55,57;32,13;8,02;5,04;69,55;46402;2341500;8,04;14,48
KEP. RIAU;2016;7,69;247;65,93;33,8;11,97;16,75;5,84;73,99;106504;2178710;9,9;22,11
DKI JAKARTA;2016;6,12;15478;66,91;31,29;1,1;8,99;3,75;79,6;210075;3100000;10,92;33,58
JAWA BARAT;2016;8,89;1339;60,65;48,64;16,43;20,23;8,77;70,05;34894;1312355;8,41;24,59
JAWA TENGAH;2016;4,63;1037;67,15;62,17;30,69;19,69;13,19;69,98;31962;1265000;7,7;19,69
DI YOGYAKARTA;2016;2,72;1188;71,96;54,91;23,27;12,83;13,1;78,38;29553;1237700;9,62;65,51
JAWA TIMUR;2016;4,21;817;66,14;62,12;36,49;14,47;11,85;69,74;47492;1273490;7,78;28,13
BANTEN;2016;8,92;1263;63,66;38,49;13,88;21,95;5,36;70,96;42440;1784000;8,79;29,02
BALI;2016;1,89;727;77,24;54,32;20,95;15,33;4,15;73,65;46211;1807600;8,84;31,61
NUSA TENGGARA BARAT;2016;3,94;264;71,57;73,11;38,9;8,87;16,02;65,81;23787;1482950;7,57;25,89
NUSA TENGGARA TIMUR;2016;3,25;107;69,18;74,8;53,32;7,35;22,01;63,13;16094;1425000;7,54;26,92
KALIMANTAN BARAT;2016;4,23;33;69,32;61,81;48,63;5,47;8;65,88;33191;1739400;7,49;20,98
KALIMANTAN TENGAH;2016;4,82;17;71,30;58,65;36,2;4,99;5,36;69,13;43905;2057528;8,52;23,9
KALIMANTAN SELATAN;2016;5,45;105;71,57;62,19;36,05;6,88;4,52;69,05;36023;2085050;8,28;23,24
KALIMANTAN TIMUR;2016;7,95;27;67,79;44,75;21,85;6,34;6;74,59;145343;2161253;9,55;31,6
KALIMANTAN UTARA;2016;5,23;9;62,40;43,02;31,43;9,5;6,99;69,2;99112;2175340;9,01;24,35
SULAWESI UTARA;2016;6,18;176;65,11;61,32;35,83;5,76;8,2;71,05;41246;2400000;9,31;31,32
SULAWESI TENGAH;2016;3,29;47;72,28;66,45;45,89;6,15;14,09;67,47;41082;1670000;8,56;35,3
SULAWESI SELATAN;2016;4,8;184;62,92;64,89;39,73;7,65;9,24;69,76;43817;2250000;8,31;40,75
SULAWESI TENGGARA;2016;2,72;67;73,47;68,53;38,92;7,42;12,77;69,31;38022;1850000;8,86;45,35
GORONTALO;2016;2,76;102;67,89;60,31;30,63;7,44;17,63;66,29;27545;1875000;7,71;32,23
SULAWESI BARAT;2016;3,33;78;71,90;70,15;49,76;7,94;11,19;63,6;27513;1864000;7,76;27,54
MALUKU;2016;7,05;37;64,51;64,24;39,13;8,25;19,26;67,6;21599;1775000;9,69;46,38
MALUKU UTARA;2016;4,01;37;66,19;64,03;40,82;8,84;6,41;66,63;24581;1681266;8,96;40,87
PAPUA BARAT;2016;7,46;9;70,05;59,43;36,95;3,14;24,88;62,21;74585;2237000;9,57;32,37
PAPUA;2016;3,35;10;76,70;78,37;65,83;1,96;28,4;58,05;54002;2435000;6,48;20,44
ACEH;2017;6,57;90;63,74;59,58;38,87;6,87;15,92;70,6;28097;2500000;9,42;45,73
SUMATERA UTARA;2017;5,6;195;68,88;58;37,52;9,03;9,28;70,57;48004;1961354;9,55;30,71
SUMATERA BARAT;2017;5,58;127;66,29;64,39;35,17;8,53;6,75;71,24;40194;1949284;9,02;43,53
RIAU;2017;6,22;77;64,00;52,7;40;6,56;7,41;71,79;105845;2266722;9,06;33,37
JAMBI;2017;3,87;70;67,52;58,53;48,56;4,48;7,9;69,99;53993;1906650;8,61;32,27
SUMATERA SELATAN;2017;4,39;90;69,50;62,4;48,25;7,09;13,1;68,86;46315;2388000;8,41;23,77
BENGKULU;2017;3,74;97;69,30;66,39;49,17;5,2;15,59;69,95;31359;1730000;8,91;41,52
LAMPUNG;2017;4,33;239;67,83;70,29;45,94;7,86;13,04;68,25;36998;1908447;8,19;18,84
